Logger:         	MadelineProto
Logger:         	Copyright (C) 2016-2022 Daniil Gentili
Logger:         	Licensed under AGPLv3
Logger:         	https://github.com/danog/MadelineProto
Serialization:  	Got exclusive session lock!
MTProto:        	Filling database cache. This can take few minutes.
MTProto:        	Cache filled.
DataCenter:     	Disconnecting all before reconnect!
DataCenterConnection: 	Disconnecting from shared DC 
DataCenterConnection: 	Backed up 0, added to 0 existing messages) from DC 
DataCenter:     	Disconnecting all before reconnect!
DataCenterConnection: 	Disconnecting from shared DC 
DataCenterConnection: 	Backed up 0, added to 0 existing messages) from DC 
DataCenter:     	Disconnecting all before reconnect!
DataCenterConnection: 	Disconnecting from shared DC 
DataCenterConnection: 	Backed up 0, added to 0 existing messages) from DC 
DataCenter:     	Disconnecting all before reconnect!
DataCenterConnection: 	Disconnecting from shared DC 
DataCenterConnection: 	Backed up 0, added to 0 existing messages) from DC 
DataCenter:     	Disconnecting all before reconnect!
DataCenterConnection: 	Disconnecting from shared DC 
DataCenterConnection: 	Backed up 0, added to 0 existing messages) from DC 
DataCenter:     	Disconnecting all before reconnect!
DataCenterConnection: 	Disconnecting from shared DC 
DataCenterConnection: 	Backed up 0, added to 0 existing messages) from DC 
DataCenter:     	Disconnecting all before reconnect!
DataCenterConnection: 	Disconnecting from shared DC 
DataCenterConnection: 	Backed up 0, added to 0 existing messages) from DC 
DataCenter:     	Reconnecting to DC 2 (-1) from existing
DataCenterConnection: 	Trying shared connection via tcp://149.154.167.41:443 main DC 2, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
Connection:     	Connecting to DC 2.0
Session:        	Resetting session in DC 2.0...
DataCenter:     	Reconnecting to DC 1 (-1) from existing
DataCenterConnection: 	Trying shared connection via tcp://149.154.175.57:443 main DC 1, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
Connection:     	Connecting to DC 1.0
Session:        	Resetting session in DC 1.0...
DataCenter:     	Reconnecting to DC 2_media (-1) from existing
DataCenterConnection: 	Trying shared connection via tcp://149.154.167.151:443 main DC 2_media, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
Connection:     	Connecting to DC 2_media.0
Session:        	Resetting session in DC 2_media.0...
DataCenter:     	Reconnecting to DC 3 (-1) from existing
DataCenterConnection: 	Trying shared connection via tcp://149.154.175.100:443 main DC 3, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
Connection:     	Connecting to DC 3.0
Session:        	Resetting session in DC 3.0...
DataCenter:     	Reconnecting to DC 4 (-1) from existing
DataCenterConnection: 	Trying shared connection via tcp://149.154.167.91:443 main DC 4, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
Connection:     	Connecting to DC 4.0
Session:        	Resetting session in DC 4.0...
DataCenter:     	Reconnecting to DC 4_media (-1) from existing
DataCenterConnection: 	Trying shared connection via tcp://149.154.165.136:443 main DC 4_media, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
Connection:     	Connecting to DC 4_media.0
Session:        	Resetting session in DC 4_media.0...
DataCenter:     	Reconnecting to DC 5 (-1) from existing
DataCenterConnection: 	Trying shared connection via tcp://91.108.56.169:443 main DC 5, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
Connection:     	Connecting to DC 5.0
Session:        	Resetting session in DC 5.0...
Connection:     	Connected to DC 1.0!
DataCenterConnection: 	Restoring 0 messages to DC 1
DataCenter:     	OK!
Connection:     	Connected to DC 2.0!
DataCenterConnection: 	Restoring 0 messages to DC 2
DataCenter:     	OK!
Connection:     	Connected to DC 2_media.0!
Connection:     	Connecting to DC 2_media.1
Session:        	Resetting session in DC 2_media.1...
Connection:     	Connected to DC 3.0!
DataCenterConnection: 	Restoring 0 messages to DC 3
DataCenter:     	OK!
Connection:     	Connected to DC 4.0!
DataCenterConnection: 	Restoring 0 messages to DC 4
DataCenter:     	OK!
Connection:     	Connected to DC 4_media.0!
Connection:     	Connecting to DC 4_media.1
Session:        	Resetting session in DC 4_media.1...
Connection:     	Connected to DC 5.0!
DataCenterConnection: 	Restoring 0 messages to DC 5
DataCenter:     	OK!
Connection:     	Connected to DC 2_media.1!
Connection:     	Connecting to DC 2_media.2
Session:        	Resetting session in DC 2_media.2...
Connection:     	Connected to DC 4_media.1!
Connection:     	Connecting to DC 4_media.2
Session:        	Resetting session in DC 4_media.2...
Connection:     	Connected to DC 2_media.2!
Connection:     	Connecting to DC 2_media.3
Session:        	Resetting session in DC 2_media.3...
Connection:     	Connected to DC 4_media.2!
Connection:     	Connecting to DC 4_media.3
Session:        	Resetting session in DC 4_media.3...
Connection:     	Connected to DC 2_media.3!
Connection:     	Connecting to DC 2_media.4
Session:        	Resetting session in DC 2_media.4...
Connection:     	Connected to DC 4_media.3!
Connection:     	Connecting to DC 4_media.4
Session:        	Resetting session in DC 4_media.4...
Connection:     	Connected to DC 2_media.4!
DataCenterConnection: 	Restoring 0 messages to DC 2_media
DataCenter:     	OK!
Connection:     	Connected to DC 4_media.4!
DataCenterConnection: 	Restoring 0 messages to DC 4_media
DataCenter:     	OK!
MTProto:        	Initing authorization...
MTProto:        	Initing authorization DC 2...
MTProto:        	Done initing authorization DC 2
MTProto:        	Initing authorization DC 1...
MTProto:        	Done initing authorization DC 1
MTProto:        	Initing authorization DC 3...
MTProto:        	Done initing authorization DC 3
MTProto:        	Initing authorization DC 4...
MTProto:        	Done initing authorization DC 4
MTProto:        	Initing authorization DC 5...
MTProto:        	Done initing authorization DC 5
MTProto:        	Initing authorization DC 2_media...
MTProto:        	Done initing authorization DC 2_media
MTProto:        	Initing authorization DC 4_media...
MTProto:        	Done initing authorization DC 4_media
DataCenter:     	Reconnecting to DC 2 (-1) from existing
DataCenterConnection: 	Trying shared connection via tcp://149.154.167.41:443 main DC 2, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
DataCenterConnection: 	Already connected!
DataCenter:     	OK!
DataCenter:     	Reconnecting to DC 1 (-1) from existing
DataCenterConnection: 	Trying shared connection via tcp://149.154.175.57:443 main DC 1, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
DataCenterConnection: 	Already connected!
DataCenter:     	OK!
DataCenter:     	Reconnecting to DC 2_media (-1) from existing
DataCenterConnection: 	Trying shared connection via tcp://149.154.167.151:443 main DC 2_media, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
DataCenterConnection: 	Already connected!
DataCenter:     	OK!
DataCenter:     	Reconnecting to DC 3 (-1) from existing
DataCenterConnection: 	Trying shared connection via tcp://149.154.175.100:443 main DC 3, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
DataCenterConnection: 	Already connected!
DataCenter:     	OK!
DataCenter:     	Reconnecting to DC 4 (-1) from existing
DataCenterConnection: 	Trying shared connection via tcp://149.154.167.91:443 main DC 4, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
DataCenterConnection: 	Already connected!
DataCenter:     	OK!
DataCenter:     	Reconnecting to DC 4_media (-1) from existing
DataCenterConnection: 	Trying shared connection via tcp://149.154.165.136:443 main DC 4_media, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
DataCenterConnection: 	Already connected!
DataCenter:     	OK!
DataCenter:     	Reconnecting to DC 5 (-1) from existing
DataCenterConnection: 	Trying shared connection via tcp://91.108.56.169:443 main DC 5, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (-1)
DataCenterConnection: 	Already connected!
DataCenter:     	OK!
MTProto:        	Initing authorization...
MTProto:        	Initing authorization DC 2...
MTProto:        	Done initing authorization DC 2
MTProto:        	Initing authorization DC 1...
MTProto:        	Done initing authorization DC 1
MTProto:        	Initing authorization DC 3...
MTProto:        	Done initing authorization DC 3
MTProto:        	Initing authorization DC 4...
MTProto:        	Done initing authorization DC 4
